collocate,raw_frequency,MI
depth,1,3.6372326959765293
devotion,1,3.424398514321181
mindedness,3,7.300794342106176
meekness,1,5.666663817081703
suffering,2,3.4348152751794365
farm,1,2.13672290912053
starve,1,4.489886755564258
acre,1,4.949419084942698
place,11,2.627116250693014
soil,1,3.8954389502953566
marian,3,3.704624286096507
surface,1,3.202291769735411
stretched,2,3.3837837951669902
severely,1,4.047517090520643
onward,1,4.2803694559618135
unbroken,1,4.58444533818927
figure,8,3.6727104228509764
vehicle,1,4.086931059061519
mark,1,2.2501373736604338
save,7,3.535450001666587
occasional,1,3.679792310395325
ask,5,2.531169601152554
seizing,1,4.520423479424339
hand,13,2.3905274105962833
pulling,1,3.5781175084089485
converting,1,6.16136005891781
thousand,5,3.418715213051102
heathens,1,6.982340610987641
sermon,2,4.463911269160997
scholarship,1,5.468212878357866
trinity,1,5.530088282075953
dutch,1,4.028377750309945
monster,1,4.133211811625525
perjured,1,6.815286526324475
wretch,1,3.669808866411142
lord,6,2.2337262059755174
sake,2,2.5834121655111564
